Number,Date,Link,
,03/03/20,https://www.facebook.com/HPDPMalta/videos/503179287012362/,
1,07/03/20,https://www.facebook.com/138329512971382/videos/287444072227955/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
,07/03/20,https://www.facebook.com/138329512971382/videos/505714720124249/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
2,10/03/20,https://www.facebook.com/HPDPMalta/videos/507279206650350/,
,10/03/20,https://www.facebook.com/138329512971382/videos/881018032369056/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
,11/03/20,https://www.facebook.com/138329512971382/videos/657619974803290/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
,11/03/20,https://www.facebook.com/138329512971382/videos/2634879263503390/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
3,11/03/20,https://www.facebook.com/HPDPMalta/videos/1052966085073138/,
,12/03/20,https://www.facebook.com/138329512971382/videos/541139279859443/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
4,12/03/20,https://www.facebook.com/HPDPMalta/videos/3867623016611965/,
,12/03/20,https://www.facebook.com/138329512971382/videos/3291004914278148/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
5,13/03/20,https://www.facebook.com/HPDPMalta/videos/1064074213960451/,
,13/03/20,https://www.facebook.com/138329512971382/videos/2415038535262228/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
,13/03/20,https://www.facebook.com/138329512971382/videos/276462380006641/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
6,14/03/20,https://www.facebook.com/HPDPMalta/videos/614001666120262/,
7,15/03/20,https://www.facebook.com/HPDPMalta/videos/247173099775328/,
8,16/03/20,https://www.facebook.com/HPDPMalta/videos/663709764364516/,
,16/03/20,https://www.facebook.com/138329512971382/videos/141238260595078/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
9,17/03/20,https://www.facebook.com/HPDPMalta/videos/194939985255515/,
,17/03/20,https://www.facebook.com/138329512971382/videos/198146624958485/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
10,18/03/20,https://www.facebook.com/HPDPMalta/videos/656281118507704/,https://www.youtube.com/watch?v=3j7sWLuy_X4
,18/03/20,https://www.facebook.com/138329512971382/videos/208694586898635/?__so__=watchlist&__rv__=video_home_www_playlist_video_list,
11,19/03/20,https://www.facebook.com/HPDPMalta/videos/202278064368239/,
12,20/03/20,https://www.facebook.com/HPDPMalta/videos/511889133080017/,
13,21/03/20,https://www.facebook.com/HPDPMalta/videos/282966156020358/,
,22/03/20,https://www.facebook.com/TelevisionMalta/videos/d41d8cd9/142678250469622/?__so__=watchlist&__rv__=related_videos,
14,22/03/20,https://www.facebook.com/HPDPMalta/videos/672917666777569/,
15,23/03/20,https://www.facebook.com/HPDPMalta/videos/480900009457583/,
16,24/03/20,https://www.facebook.com/HPDPMalta/videos/1484086178408176/,
17,25/03/20,https://www.facebook.com/HPDPMalta/videos/213794246607781/,
18,26/03/20,https://www.facebook.com/HPDPMalta/videos/213717566391955/,
19,27/03/20,https://www.facebook.com/HPDPMalta/videos/503135127024658/,
20,28/03/20,https://www.facebook.com/HPDPMalta/videos/226115718631959/,
21,29/03/20,https://www.facebook.com/HPDPMalta/videos/215005989850108/,
22,30/03/20,https://www.facebook.com/HPDPMalta/videos/212883846604221/,
22,31/03/20,https://www.facebook.com/HPDPMalta/videos/3189151057775320/,
23,01/04/20,https://www.facebook.com/HPDPMalta/videos/232980234557025/,
24,02/04/20,https://www.facebook.com/HPDPMalta/videos/922057101592757/,
25,03/04/20,https://www.facebook.com/HPDPMalta/videos/covid-19-press-briefing-03-4-2020/628584281054384,
